,geoid_long,stab,state,tract,block_group,labor_force,unemployed,unemployment_rate,county,geoid
120,15000US110010021026,DC,11,002102,6,479,128,26.72,001,110010021026
121,15000US110010022011,DC,11,002201,1,872,89,10.21,001,110010022011
122,15000US110010022012,DC,11,002201,2,843,229,27.16,001,110010022012
123,15000US110010022013,DC,11,002201,3,492,14,2.85,001,110010022013
124,15000US110010022021,DC,11,002202,1,1132,51,4.51,001,110010022021
125,15000US110010022022,DC,11,002202,2,505,97,19.21,001,110010022022
126,15000US110010022023,DC,11,002202,3,279,0,0.0,001,110010022023
127,15000US110010023011,DC,11,002301,1,983,72,7.32,001,110010023011
128,15000US110010023012,DC,11,002301,2,1261,71,5.63,001,110010023012
129,15000US110010023021,DC,11,002302,1,0,0,,001,110010023021
130,15000US110010023022,DC,11,002302,2,805,70,8.7,001,110010023022
131,15000US110010023023,DC,11,002302,3,0,0,,001,110010023023
132,15000US110010024001,DC,11,002400,1,678,24,3.54,001,110010024001
133,15000US110010024002,DC,11,002400,2,810,20,2.47,001,110010024002
134,15000US110010024003,DC,11,002400,3,609,35,5.75,001,110010024003
135,15000US110010024004,DC,11,002400,4,682,26,3.81,001,110010024004
136,15000US110010025011,DC,11,002501,1,959,39,4.07,001,110010025011
137,15000US110010025012,DC,11,002501,2,829,19,2.29,001,110010025012
138,15000US110010025031,DC,11,002503,1,771,223,28.92,001,110010025031
139,15000US110010025032,DC,11,002503,2,1393,105,7.54,001,110010025032
140,15000US110010025041,DC,11,002504,1,1205,55,4.56,001,110010025041
141,15000US110010025042,DC,11,002504,2,1131,50,4.42,001,110010025042
142,15000US110010026001,DC,11,002600,1,630,15,2.38,001,110010026001
143,15000US110010026002,DC,11,002600,2,1038,49,4.72,001,110010026002
144,15000US110010027021,DC,11,002702,1,1119,33,2.95,001,110010027021
145,15000US110010027022,DC,11,002702,2,857,12,1.4,001,110010027022
146,15000US110010027023,DC,11,002702,3,933,109,11.68,001,110010027023
147,15000US110010027024,DC,11,002702,4,1400,19,1.36,001,110010027024
148,15000US110010027031,DC,11,002703,1,553,5,0.9,001,110010027031
